source_ip;destination_ip;source_port;destination_port;info_message;attack_category;is_attack;count_normal;count_attack
175.45.176.1;149.171.126.11;31627;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ; Fuzzers ;1;4;4
175.45.176.3;149.171.126.11;65394;80;GET /V.php HTTP/1.1 ; Fuzzers ;1;1;1
175.45.176.0;149.171.126.17;53573;80;GET /~aakuney/Aug20-flash/poc.html HTTP/1.1 ;Generic;1;1;1
175.45.176.0;149.171.126.17;53573;80;GET /~aakuney/Aug20-flash/poc.swf HTTP/1.1 ;Generic;1;1;1
175.45.176.1;149.171.126.16;30871;80;GET /~the/poc.mov HTTP/1.1 ;Generic;1;1;1
175.45.176.3;149.171.126.10;62997;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ;;0;4;4
175.45.176.2;149.171.126.15;44952;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ;;0;4;4
175.45.176.3;149.171.126.19;32659;80;GET /j.html HTTP/1.1 ;Analysis;1;1;1
175.45.176.3;149.171.126.19;18000;80;GET /j.html HTTP/1.1 ;;0;1;1
175.45.176.0;149.171.126.17;57148;80;GET /~the/poc.mov HTTP/1.1 ;;0;1;1
175.45.176.0;149.171.126.13;58799;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ;;0;4;4
175.45.176.2;149.171.126.11;62744;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ;;0;4;4
175.45.176.1;149.171.126.11;41991;80;GET /V.php HTTP/1.1 ;;0;1;1
175.45.176.1;149.171.126.13;47895;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ; Fuzzers ;1;4;4
175.45.176.1;149.171.126.13;47895;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ; Fuzzers ;1;4;4
175.45.176.0;149.171.126.13;13133;80;GET 149.171.126.13/upnp/asf-mp4.asf HTTP/1.1 ;Exploits;1;1;1
175.45.176.0;149.171.126.10;41633;80;GET /%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s%25s HTTP/1.1 ; Fuzzers;1;4;4
175.45.176.2;149.171.126.14;39793;80;GET /~aakuney/Aug20-flash/poc.html HTTP/1.1 ;;0;1;1
175.45.176.2;149.171.126.14;39793;80;GET /~aakuney/Aug20-flash/poc.swf HTTP/1.1 ;;0;1;1
175.45.176.0;149.171.126.13;25296;80;GET 149.171.126.13/upnp/asf-mp4.asf HTTP/1.1 ;;0;1;1
