source_ip;destination_ip;source_port;destination_port;info_message;attack_category;is_attack
175.45.176.2;149.171.126.14;26880;80;GET /level/90/exec//show HTTP/1.1 ;Exploits;1
175.45.176.1;149.171.126.15;2088;80;PROPFIND /4OWQGrT/aI5T4Cc8tA.bat HTTP/1.1 ;Exploits;1
59.166.0.1;149.171.126.5;32758;80;GET / HTTP/1.1 ;;0
59.166.0.9;149.171.126.9;30768;80;GET / HTTP/1.1 ;;0
59.166.0.8;149.171.126.9;27148;80;GET /notthere.html HTTP/1.1 ;;0
59.166.0.5;149.171.126.1;65276;80;GET /notthere.html HTTP/1.1 ;;0
59.166.0.2;149.171.126.4;17138;80;GET / HTTP/1.1 ;;0
59.166.0.0;149.171.126.4;55412;80;GET /video.fli HTTP/1.1 ;;0
59.166.0.7;149.171.126.9;61916;80;GET /notthere.html HTTP/1.1 ;;0
59.166.0.0;149.171.126.7;6454;80;GET /notthere.html HTTP/1.1 ;;0
59.166.0.1;149.171.126.3;57959;80;GET /video.fli HTTP/1.1 ;;0
59.166.0.4;149.171.126.6;43479;80;GET /notthere.html HTTP/1.1 ;;0
59.166.0.3;149.171.126.7;42093;80;GET /notthere.html HTTP/1.1 ;;0
